Variables;w_factor_3.1;nf_3.1
Changement climatique;0.2106;7553.08316285117
Appauv. ozone;0.0631;0.053647990567263
Rayo. ionisants;0.0501;4220.1598125338
Forma. photo. ozone;0.0478;40.6013974614544
Particules;0.0896;0.000595386937135986
Eff. non cancer.;0.0184;0.000128735735008072
Eff. cancer.;0.0213;0.0000172528976538705
Acid. terre./eaux d.;0.062;55.569541230602
Eutro. ed;0.028;1.60685212828813
Eutro. marine;0.0296;19.5451815519191
Eutro. terre;0.0371;176.754999788942
Ecotoxi. aqua ed;0.0192;56716.5863370596
Uti. sol;0.0794;819498.182923031
Epuis. eau;0.0851;11468.7086407597
Epuis. énerg.;0.0832;65004.2596640167
Epuis. miné.;0.0755;0.0636402782259556
